Incident,Location,Date Reported,Incident/Case#,Date Occurred,Time Occurred,Summary,Disposition
Security Alarm,University Center 110,10/22/2021,2110220032,10/22/2021,1:17 PM,,False Alarm
Incomplete / Accidental Wireless 911 Call,UCSD Police Department,10/22/2021,2110220033,10/22/2021,1:55 PM,,Logged Event
Incomplete / Accidental Landline 911 Call,UCSD Police Department,10/22/2021,2110220034,10/22/2021,1:57 PM,,Logged Event
Medical Aid,NTPLL - Mosaic,10/22/2021,2110220035,10/22/2021,2:19 PM,"Male student lost consciousness for unknown reason, is now conscious and breathing",Checks OK
Incomplete / Accidental Wireless 911 Call,UCSD Police Department,10/22/2021,2110220036,10/22/2021,2:19 PM,,Logged Event
Incomplete / Accidental Wireless 911 Call,UCSD Police Department,10/22/2021,2110220037,10/22/2021,2:27 PM,,Logged Event
Citizen Flagdown,Lot 401,10/22/2021,2110220038,10/22/2021,3:17 PM,Female student requesting information regarding issues with roommate,Referred To Other Agency - San Diego Police Department
Disturbance - Domestic Violence,Glider Port,10/22/2021,2110220040,10/22/2021,3:53 PM,Report of male and female in verbal argument,Referred To Other Agency - San Diego Police Department
Preserve The Peace,Warren Apts - Goldberg,10/22/2021,2110220042,10/22/2021,4:00 PM,Suitemate gathering belongings,Service Provided
Traffic Collision - Minor Injury,Pepper Canyon / Rupertus Wy,10/22/2021,2021-1084,10/22/2021,5:03 PM,"Report of two bicyclist that collided, 1 bicyclist with injuries",Transported To Hospital
Incomplete / Accidental Wireless 911 Call,"Housing, Dining And Hospitality Services",10/22/2021,2110220046,10/22/2021,5:07 PM,,Logged Event
Suspicious Person,Birch Aquarium ,10/22/2021,2110220047,10/22/2021,5:12 PM,,Gone On Arrival
Disturbance    ,Café Ventanas,10/22/2021,2110220048,10/22/2021,5:14 PM,"Unknown male rode electric bike into building, grabbing a beverage and left without paying",Referred To Other UCSD Department - Res Life
Non Injury Traffic Collision,Interstate 5 SB / La Jolla Village Dr,10/22/2021,2110220049,10/22/2021,5:25 PM,,Referred To Other Agency - California Highway Patrol
Drunk Driving,Nobel Dr / Regents Rd,10/22/2021,2110220053,10/22/2021,6:20 PM,,Referred To Other Agency - San Diego Police Department
Incomplete / Accidental Wireless 911 Call,Gilman Dr / Villa La Jolla Dr,10/22/2021,2110220054,10/22/2021,6:42 PM,,Logged Event
Incomplete / Accidental Wireless 911 Call,Voigt Dr / Hopkins Dr,10/22/2021,2110220055,10/22/2021,6:55 PM,,Logged Event
Burglary,Shorepoint Way,10/22/2021,2110220056,10/22/2021,7:25 PM,,Referred To Other Agency - San Diego Police Department
Security Alarm,Student Services Center,10/22/2021,2110220060,10/22/2021,8:25 PM,,False Alarm
Traffic Hazard,Villa La Jolla Dr / La Jolla Village Dr,10/22/2021,2110220061,10/22/2021,8:32 PM,"Transient male in wheelchair, in middle of intersection",Referred To Other Agency - San Diego Police Department
Incomplete / Accidental Wireless 911 Call,Torrey Pines Rd,10/22/2021,2110220062,10/22/2021,8:35 PM,,Logged Event
Disturbance - Party,Harlan Hall,10/22/2021,2110220065,10/22/2021,10:32 PM,Resident Advisor requesting University Security Officer to assist with large party,Referred To Student Conduct
Noise Disturbance,Tioga Hall,10/22/2021,2110220069,10/22/2021,10:57 PM,Loud music and stomping,Unable To Locate
Noise Disturbance,Seventh College West Bldg 4,10/22/2021,2110220069,10/22/2021,11:11 PM,Loud music,Will Cooperate
Noise Disturbance,La Jolla Playhouse,10/22/2021,2110220070,10/22/2021,11:20 PM,Loud music and talking coming from wooded area,Will Cooperate
DUI Non-Injury Collision,Gilman Dr / Lot 406,10/22/2021,2021-1085,10/22/2021 - 10/23/2021,11:30 PM - 12:05 AM,,Cleared By Adult Arrest
Death,Tioga Hall,10/22/2021,2021-1086,10/22/2021,11:38 PM,"University Safety Officers responded to a noise call/alcohol contact, shortly after Police Officers received call for help, for student who fell from 8th floor window",Transported To Hospital
Fire Alarm,NTPLL - Tapestry,10/22/2021,2110220074,10/22/2021,11:47 PM,,False Alarm
Battery,UCSD Medical Facility - Hillcrest,10/22/2021,HC21-10-22-0982,10/22/2021,7:44 AM,"Patient struck hospital staff member, causing minor injury",Hospital Security Report Taken
Noise Disturbance,Europe Hall,10/23/2021,2110230002,10/23/2021,12:25 AM,Loud yelling and stomping,Referred to Student Conduct
Gas/ Water/ Sewer Leak,Via Viesta,10/23/2021,2110230003,10/23/2021,12:44 AM,Water leak,Referred to Other Agency - Poway Water Treatment Center
Noise Disturbance,Seventh College West,10/23/2021,2110230006,10/23/2021,1:38 AM,Loud group,Will Cooperate
Noise Disturbance,Asia Hall,10/23/2021,2110230007,10/23/2021,1:38 AM,Loud group,Will Cooperate
Clery Incident Report - Fondling,Main GYM,10/23/2021,2021-1088,10/23/2021,1:45 AM,,Information Only
Noise Disturbance,Latin America Hall,10/23/2021,2110230009,10/23/2021,3:30 AM,Loud party,Disposition Quiet on Arrival
Fire Alarm,Mesa Nueva ,10/23/2021,2110230020,10/23/2021,9:10 AM,,False Alarm
Fire Alarm,Biomedical Sciences Building,10/23/2021,2110230026,10/23/2021,12:13 PM,,False Alarm
Fire Alarm,Scholars Dr North,10/23/2021,2110230027,10/23/2021,12:16 PM,,False Alarm
Incomplete/ Accidental Wireless 911 Call,UCSD Police Department,10/23/2021,2110230028,10/23/2021,12:42 PM,,Logged Event
Bicyclist Stop,Gilman Parking Structure ,10/23/2021,2110230028,10/23/2021,12:42 PM,,Verbal Warning Issued
Bicyclist Stop,Gilman Dr/ Scholars Dr South ,10/23/2021,2110230029,10/23/2021,12:42 PM,,Verbal Warning Issued
Bicyclist Stop,Gilman Dr/ Scholars Dr South,10/23/2021,2110230030,10/23/2021,12:48 PM,,Verbal Warning Issued
Found Juvenile ,Mesa Nueva ,10/23/2021,2110230031,10/23/2021,1:11 PM,Lost three year old,Service Provided
Fraud,Internet,10/23/2021,T21000140,10/23/2021,11:00 AM - 12:30 PM,"Reporting party was a victim of an internet scam, loss $300.00 ",Online Report
Traffic Hazard,Interstate 5/ Gilman Dr,10/23/2021,2110230035,10/23/2021,2:23 PM,Male walking down center divide,Referred to Other Agency - California Highway Patrol
Medical Aid,Scholars Dr North,10/23/2021,2110230040,10/23/2021,3:54 PM,Female fainted ,Service Provided
Bicyclist Stop,Nuevo East,10/23/2021,2110230041,10/23/2021,4:04 PM,,Verbal Warning Issued
Vehicle Burglary,Glider Port,10/23/2021,2110230046,10/23/2021,6:07 PM,,Referred to Other Agency - San Diego Police Department
Fire Alarm ,Biomedical Sciences Building ,10/23/2021,2110230047,10/23/2021,6:21 PM,,False Alarm
Incomplete/ Accidental Landline 911 Call,Scholars Dr North,10/23/2021,2110230048,10/23/2021,6:30 PM,,Logged Event
Information,Galbraith Hall,10/23/2021,2110230049,10/23/2021,6:44 PM,Audible fire panel,Referred to Other UCSD Department - Central Plant
Attempt to Contact,Middle East Hall,10/23/2021,2110230055,10/23/2021,8:54 PM,Student has not responded about positive COVID results,Unable to Locate
Incomplete/ Accidental Wireless 911 Call ,Scholars Dr North,10/23/2021,2110230056,10/23/2021,9:03 PM,,Logged Event 
Citizen Contact,Canyon Vista ,10/23/2021,2110230057,10/23/2021,9:11 PM,Mask violation,Referred to Student Conduct
Citizen Contact,Seventh College East,10/23/2021,2110230059,10/23/2021,10:04 PM,Visitor violation,Referred to Student Conduct 
Citizen Contact,Canyon Vista ,10/23/2021,2110230061,10/23/2021,10:57 PM,Contact subject for no mask,Referred to Student Conduct
Incomplete/ Accidental Wireless 911 Call,Scholars Dr North,10/23/2021,2110230063,10/23/2021,11:09 PM,,Logged Event
Disturbance,Thornton Pavilion,10/23/2021,2110230066,10/23/2021,11:33 PM,Subject wont give reporting party car keys for her to get her property ,Field Interview
Hazard Situation ,Social Sciences Building,10/23/2021,2110230068,10/23/2021,11:45 PM,Subjects on rooftop,Checks OK
Battery,UCSD Medical Facility - Hillcrest,10/23/2021,HC21-10-22-0982,10/22/2021,7:44 AM,Disruptive patient attempted to strik hospital staff member,Referred to Other Agency - San Diego Police Department
UC Policy Violation,Lot 401,10/24/2021,2110240004,10/24/2021,12:11 AM,Smoking violation ,Referred to Student Conduct
Noise Disturbance,Marshall Upper Apartments,10/24/2021,2110240007,10/24/2021,12:33 AM,Loud music,Will Cooperate
Noise Disturbance,One Miramar Street,10/24/2021,2110240010, 10/24/2021,12:48 AM,Loud group playing table tennis,Unable to Locate
Disturbance - Party,Warren Apartments - Douglas,10/24/2021,2110240012,10/24/2021,12:52 AM,Multiple guests in an apartment,Referred to Student Conduct
UC Policy Violation,Marshall Upper Apartments,10/24/2021,2110240013,10/24/2021,12:54 AM,Housing violation and party contact,Referred to Student Conduct
Quiet Hours Contact,Warren - Brown Hall ,10/24/2021,2110240017,10/24/2021,1:14 AM,,Disposition Referred to Student Conduct
Grand Theft - Bicycle,Seventh College East Building 2 - Bike Racks,10/24/2021,2021-1105,10/23/2021 - 10/24/2021,6:00 PM - 9:00 AM,"Loss $1,100.00",Online Report
Discharging a Firearm,Regents Park Row,10/24/2021,2110240018,10/23/2021,11:39 PM,Reporting party heard multiple shots in the area,Referred to Other Agency - San Diego Police Department
Incomplete/Accidental Landline 911 Call,Sixth College - Kaleidoscope,10/24/2021,2110240021,10/24/2021,2:07 AM,,Logged Event
Noise Disturbance,Seventh College West,10/24/2021,2110240023,10/24/2021,2:21 AM,Loud music,Quiet on Arrival
Citizen Contact,Seventh College West,10/24/2021,2110240026,10/24/2021,2:44 AM,Visitation hours violation,Referred to Student Conduct
Disturbance - Party,ERC - Cuzco House,10/24/2021,2110240027,10/24/2021,2:59 AM,,Referred to Student Conduct
Noise Disturbance,Pepper Canyon Apartments,10/24/2021,2110240029,10/24/2021,3:28 AM,Loud talking,Referred to Student Conduct
Illegal Camping,Revelle College - Keeling Apartments,10/24/2021,2110240033,10/24/2021,4:14 AM,Possible student sleeping in the courtyard,Checks OK
Vehicle Burglary,Lot 759,10/24/2021,2021-1089,10/24/2021,6:00 AM,"Unknown suspect(s)forced entry into victim's vehicle and stole valuables, loss $50.074.98",Report Taken
Traffic Hazard,Athena Circle/ Health Sciences Drive,10/24/2021,2110240035,10/24/2021,7:04 AM,Clearing a red sign,Checks OK
Security Alarm,La Jolla Playhouse,10/24/2021,2110240037,10/24/2021,7:34 AM,,False Alarm
Suspicious Person,SIO - Coastal Studies,10/24/2021,2110240040,10/24/2021,8:33 AM,Male seen trying to gain access into the building,Field Interview
Incomplete/Accidental Wireless 911 Call,UCSD Police Department,10/24/2021,2110240041,10/24/2021,8:43 AM,,Logged Event
Possession of Narcotic Controlled Substance,Jacobs Medical Center ,10/24/2021,2021-1090,10/24/2021,9:59 AM,Hospital patient admitted to being in possession of a controlled substance without prescription,Report Taken
Medical Aid,Coast Boulevard,10/24/2021,2110240045,10/24/2021,10:43 AM,Male in wheelchair fell,Referred to Other Agency - San Diego Fire Department
Theft From Vehicle,One Miramar Street Parking Garage,10/24/2021,2021-1091,10/20/2021 - 10/24/2021,10:00 PM - 12:00 PM,"Catalytic converter was stolen from the vehicle, loss $1,200.00",Report Taken
Suspicious Person,Gilman Drive/Myers Drive,10/24/2021,2110240048,10/24/2021,1:09 PM,Male crossing the street back and forth and yelling ,Field Interview
Incomplete/Accidental Wireless 911 Call,UCSD Police Station,10/24/2021,2110240051,10/24/2021,2:58 PM,,Logged Event 
Animal Call,One Miramar Street - Building 2,10/24/2021,2110240053,10/24/2021,4:33 PM,Dog barking for over an hour ,Unable to Locate
Incomplete/Accidental Wireless 911 Call,Mesa Nueva - Cala,10/24/2021,2110240059,10/24/2021,7:04 PM,,Logged Event
Suspicious Vehicle,Price Center,10/24/2021,2110240060,10/24/2021,7:29 PM,,Verbal Warning Issued
Citizen Contact,Mesa Nueva - Cala,10/24/2021,2110240066,10/24/2021,9:14 PM,Subject contacted for having glass around the pool area,Referred to Student Conduct
Psych Subject Detention,UCSD Residential Area,10/24/2021,2021-1092,10/24/2021,9:19 PM,Report of student threatening to harm self,Transported to Hospital
Alcohol Contact,Mesa Nueva - Cala,10/24/2021,2110240068,10/24/2021,9:19 PM,,Referred to Student Conduct
Medical Aid,La Jolla Village Tennis Club,10/24/2021,210240069,10/24/2021,9:23 PM,Report of female with high blood pressure,Referred to Other Agency - San Diego Fire Department
Marijuana Contact,ERC,10/24/2021,2110240071,10/24/2021,10:44 PM,Odor of Marijuana in area,Unable to Locate
Noise Disturbance,Seventh College West,10/24/2021,2110240072,10/24/2021,10:59 PM,"Report of loud male residents heckling other students and saying ""help me""",Quiet on Arrival
Person Down,Student Services Center,10/24/2021,2110240073,10/24/2021,11:01 PM,Male lying on the ground for several hours,Referred to Other Agency - San Diego Fire Department
Medical Aid,Seventh College East,10/24/2021,2110240075,10/24/2021,11:37 PM,"Female having an allergic reaction to medication, experiencing shallow breath",Transported to Hospital
Disturbance - Loitering ,UCSD Medical Facility - Hillcrest,10/24/2021,HC21-10-23-0985,10/23/2021,7:45 AM,Subject loitering outside of an emergency exit and trying to open doors,Referred  to Other Agency - San Diego Police Department
Voluntary Psych Referral,UCSD Residential Area,10/25/2021,2021-1093,10/25/2021,12:16 AM,,Transported To Hospital
Noise Disturbance,Marshall Upper Apts K,10/25/2021,2110250006,10/25/2021,2:05 AM,Resident Advisor received second hand information regarding banging noises,Quiet On Arrival
Security Alarm,Isaacs Hall,10/25/2021,2110250012,10/25/2021,6:14 AM,,Cancelled 
Security Alarm,University Center 110,10/25/2021,2110250016,10/25/2021,6:49 AM,,False Alarm
Incomplete / Accidental Wireless 911 Call,Russell Ln / Lyman Ln,10/25/2021,2110250018,10/25/2021,7:20 AM,,Logged Event
Fire Alarm,Sverdrup Hall,10/25/2021,2110250020,10/25/2021,7:32 AM,,Disposition False Alarm
Incomplete / Accidental Wireless 911 Call,Atkinson Hall,10/25/2021,2110250021,10/25/2021,8:25 AM,,Logged Event
Theft Of Micro Mobility Device,York Hall,10/25/2021,2021-1094,10/25/2021,8:00 AM - 8:50 AM,Loss $806.00,Report Taken
Injury,NTPLL - Scholars Parking,10/25/2021,2021-1096,10/25/2021,10:57 AM,"Female student tripped over cement wheel stop, visible injury to face and knee ",Transported To Hospital
Petty Theft - Bicycle,Seventh College West Building 6,10/25/2021,2021-1097,10/25/2021,11:16 AM,Loss $100.00,Report Taken
Petty Theft - Bicycle,Seventh College West Bldg B,10/25/2021,2021-1095,10/23/2021 - 10/25/2021,9:30 PM - 9:00 AM,Loss $100.00,Report Taken
Incomplete / Accidental Wireless 911 Call,Russell Ln / Lyman Ln,10/25/2021,2110250038,10/25/2021,12:21 PM,,Logged Event
Welfare Check,La Jolla Village Dr / Interstate 5,10/25/2021,2110250040,10/25/2021,2:01 PM,Transient lying on ground,Referred To Other Agency - San Diego Police Department
Hit & Run Non-Injury Collision,Pangea Parking Structure,10/25/2021,2021-1098,10/20/2021 - 10/22/2021,10:19 AM - 11:00 PM,,Report Taken
Incomplete / Accidental Wireless 911 Call,UCSD Police Department,10/25/2021,2110250043,10/25/2021,2:19 PM,,Logged Event
Incomplete / Accidental Wireless 911 Call,UCSD Police Department,10/25/2021,2110250044,10/25/2021,2:25 PM,,Logged Event
Medical Aid,Rebecca And John Moores Cancer Center,10/25/2021,2110250045,10/25/2021,2:50 PM,"Elderly female with elevated heart rate, rapid breathing",Referred To Other Agency - San Diego Fire Department
Incomplete / Accidental Wireless 911 Call,UCSD Police Department,10/25/2021,2110250047,10/25/2021,2:58 PM,,Logged Event
Incomplete / Accidental Wireless 911 Call,UCSD Police Department,10/25/2021,2110250048,10/25/2021,2:59 PM,,Logged Event
Medical Aid,Rebecca And John Moores Cancer Center,10/25/2021,2110250049,10/25/2021,3:11 PM,Medical transport for patient,Referred To Other Agency - San Diego Fire Department
Petty Theft    ,One Miramar St Parking,10/25/2021,2021-1100,9/1/2021 - 10/25/2021,12:00 am - 4:15 pm,"Unknown suspect(s) stole license plate from victim's motorcycle, Loss $1.00",Report Taken
Medical Aid,Rebecca And John Moores Cancer Center,10/25/2021,2110250053,10/25/2021,4:29 PM,"Elderly female having reaction to treatment, losing consciousness",Referred To Other Agency - San Diego Fire Department
Disturbance,Swamis,10/25/2021,2110250054,10/25/2021,4:30 PM,,Referred To Other Agency - San Diego Police Department
Incomplete / Accidental Wireless 911 Call,Lot 753,10/25/2021,2110250057,10/25/2021,4:54 PM,,Logged Event
Welfare Check,University Center 965,10/25/2021,2110250058,10/25/2021,5:03 PM,"Female transient, disoriented in lobby",Field Interview
Information,Nuevo West - Viento,10/25/2021,2110250059,10/25/2021,5:39 PM,Cigarette smoke coming into reporting party's room from unknown location,Information
Fire Alarm,North America Hall,10/25/2021,2110250060,10/25/2021,5:55 PM,,False Alarm
Incomplete / Accidental Wireless 911 Call,UCSD Police Department,10/25/2021,2110250062,10/25/2021,6:15 PM,,Logged Event
Hit & Run Non-Injury Collision,"2135 Columbia St, San Diego",10/25/2021,2110250063,10/23/2021,2:00 PM - 7:00 PM,,Referred To Other Agency - San Diego Police Department
Grand Theft,Lot 704,10/25/2021,2021-1101,10/25/2021,11:45 AM - 8:10 PM,"Unknown suspect(s) removed victims catalytic converter from vehicle, Loss $2,000.00",Report Taken
UC Policy Violation,Canyon Vista Admin and Dining Facility,10/25/2021,2110250071,10/25/2021,9:12 PM,Mask violation,Referred To Student Conduct
UC Policy Violation,Seventh College West #7,10/25/2021,2110250073,10/25/2021,9:39 PM,Covid policy guest violation,Referred To Student Conduct
Clery Incident Report - Fondling,UCSD Residential Area,10/25/2021,2021-1099,10/16/2021,10:00 PM,,Information Only
Noise Disturbance,Mesa Nueva - Cala,10/25/2021,2110250076,10/25/2021,10:58 PM,Loud stomping,Service Provided
Noise Disturbance,Pangea Parking Structure,10/25/2021,2110250082,10/25/2021,10:58 PM,Loud talking and laughing,Referred To Student Conduct
Noise Disturbance,One Miramar St Bldg 4,10/26/2021,2110260002,10/26/2021,12:31 AM,,Quiet On Arrival
Medical Aid,Carefree Dr,10/26/2021,2110260003,10/26/2021,1:26 AM,Report of adult male who stopped breathing,Referred To Other Agency - San Diego Fire Department
Welfare Check,UCSD Residential Area,10/27/2021,2021-1106,10/26/2021,3:42 AM - 4:26 AM,Female grabbed knife and made suicidal threats during verbal argument with boyfriend,Report Taken
Medical Aid,Nuevo West - Brisa,10/26/2021,2110260009,10/26/2021,4:37 AM,"Male with sharp pain in abdomen, refused medical aid",Field Interview
Security Alarm,SIO New Director's Office,10/26/2021,2110260010,10/26/2021,5:39 AM,,False Alarm
Medical Aid,Seventh College West Building 6,10/26/2021,2110260016,10/26/2021,7:58 AM,"Young adult male having seizure, unconscious and breathing",Disposition Transported To Hospital
Informational Report,Lot 751,10/26/2021,2021-1107,10/26/2021,9:36 AM,Report of driver running stop signs and driving on wrong side of road,Report Taken
Suspicious Vehicle,One Miramar St Parking ,10/26/2021,2110260025,10/26/2021,9:56 AM,,Information Only
Petty Theft,Arts & Humanities Bldg,10/26/2021,T21000142,10/14/2021 - 10/29/2021,10:15 AM - 10:15 AM,"Unknown suspects(s) stole door bell button and chime unit, Loss $40.00 ",Online Report
Petty Theft - Bicycle,Keeling Apts South Tower,10/26/2021,T21000143,10/25/2021 - 10/26/2021,8:00 PM - 9:20 AM,Loss $600.00,Online Report
Property Damage,Lot 760,10/26/2021,2021-1108,10/25/2021,7:00 AM - 7:30 PM,"Tree branch fell onto victim's vehicle causing damage to front windshield, Damage $600.44",Report Taken
Traffic Hazard,Lot 359,10/26/2021,2110260030,10/26/2021,11:06 AM,Vehicle blocking traffic,Written Warning Issued
Property Damage,Lot 703,10/26/2021,2021-1109,10/26/2021,9:00 am - 11:00 am,"Damage to UCSD owned vehicle, cause and amount of damage unknown",Report Taken
Incomplete / Accidental Wireless 911 Call,UCSD Police Department,10/26/2021,2110260033,10/26/2021,11:41 AM,,Logged Event
Grand Theft - Micro Mobility Device,Stewart Hall,10/26/2021,2021-1110,10/25/2021 - 10/26/2021,8:00 PM - 10:45 AM,"Loss $1,500.00",Report Taken
Security Alarm,EBU3A,10/26/2021,2110260039,10/26/2021,12:35 PM,,False Alarm
Incomplete / Accidental Wireless 911 Call,Gilman Dr,10/26/2021,2110260040,10/26/2021,1:22 PM,,Logged Event
Incomplete / Accidental Wireless 911 Call,Atkinson Hall,10/26/2021,2110260041,10/26/2021,1:47 PM,,Logged Event
Incomplete / Accidental Wireless 911 Call,Scholars Dr North / Muir College Dr,10/26/2021,2110260042,10/26/2021,1:55 PM,,Logged Event
Incomplete / Accidental Landline 911 Call,UCSD Police Department,10/26/2021,2110260044,10/26/2021,2:27 PM,,Logged Event
Vehicle Burglary,Pangea Parking Structure,10/26/2021,2021-1111,10/25/2021 - 10/26/2021,8:30 PM - 11:30 AM,"Unknown suspect(s) forced entry into victim's vehicle, and stole personal property and both vehicle license plates, Loss $71.00",Report Taken
Outside Agency Courtesy Report - Extortion by threat,"Lebon Dr, San Diego, CA",10/26/2021,2021-1112,10/24/2021 - 10/25/2021,7:30 PM - 5:00 PM,,Referred To Other Agency - San Diego Police Department
Psych Subject,Student Health And Wellness Center,10/26/2021,2021-1113,10/26/2021,3:45 PM,Female student having suicidal ideations,Transported To Hospital
Traffic Hazard,Regents Park Row / Regents Rd,10/26/2021,2110260051,10/26/2021,3:53 PM,Stalled vehicle in roadway,Referred To Other Agency - San Diego Police Department
Suspicious Person,T. Denny Sanford Med Telemedicine Center,10/26/2021,2110260054,10/26/2021,4:39 PM,,Field Interview
